===== wnba_2022_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Connecticut Sun*,"28,0",25,11,29,7,"8,03","-0,80","7,23","108,5","98,3",+10.2,"78,5",",288",",261",",552",0,",508","15,6","31,6",",227",0,",494","17,6","79,5",",197",0,Mohegan Sun Arena
2,Las Vegas Aces*,"26,9",26,10,26,10,"6,36","-0,59","5,78","111,9","104,0",+7.9,"80,6",",282",",376",",573",0,",528","12,3","19,9",",232",0,",502","13,9","77,6",",185",0,Michelob ULTRA Arena
3,Chicago Sky*,"30,0",26,10,25,11,"5,00","-0,15","4,85","107,7","101,5",+6.2,"79,2",",245",",309",",574",0,",535","15,5","22,7",",202",0,",483","14,4","76,2",",176",0,Wintrust Arena
4,Washington Mystics*,"28,0",22,14,25,11,"4,36","-0,55","3,82","103,5","97,8",+5.7,"76,7",",268",",337",",538",0,",496","14,6","23,3",",210",0,",485","16,2","80,1",",195",0,Entertainment and Sports Arena
5,Seattle Storm*,"29,7",22,14,24,12,"4,11","-0,20","3,91","104,9","99,7",+5.2,"78,3",",219",",372",",547",0,",509","14,5","21,8",",180",0,",485","16,1","75,0",",172",0,Climate Pledge Arena
6,Dallas Wings*,"25,4",18,18,18,18,"0,19","-0,16","0,04","106,6","106,3",+0.3,"77,6",",304",",331",",536",0,",492","14,1","27,6",",232",0,",514","15,2","75,9",",224",0,College Park Center
7,Minnesota Lynx,"28,5",14,22,16,20,"-1,47","0,29","-1,19","104,4","106,3","-1,9","78,4",",290",",293",",545",0,",501","16,1","26,7",",227",0,",503","12,9","78,0",",199",0,Target Center
8,New York Liberty*,"26,9",16,20,14,22,"-2,39","0,42","-1,97","101,1","104,1","-3,0","77,9",",225",",414",",543",0,",504","16,6","20,7",",185",0,",469","13,0","75,4",",247",0,Barclays Center
9,Atlanta Dream,"26,2",14,22,13,23,"-3,00","0,02","-2,98","98,1","101,8","-3,7","79,5",",253",",313",",516",0,",475","16,7","24,5",",197",0,",494","15,7","78,5",",240",0,Gateway Center Arena @ College Park
10,Phoenix Mercury*,"29,9",15,21,14,22,"-3,00","0,04","-2,97","102,6","106,4","-3,8","78,2",",280",",401",",543",0,",495","15,1","19,9",",229",0,",501","15,5","71,5",",222",0,Footprint Center
11,Los Angeles Sparks,"27,2",13,23,8,28,"-7,11","0,62","-6,49","99,6","108,6","-9,0","79,5",",273",",253",",530",0,",487","15,6","20,6",",215",0,",532","17,1","73,5",",244",0,Crypto.com Arena
12,Indiana Fever,"25,4",5,31,5,31,"-11,08","1,06","-10,02","96,6","110,3","-13,7","80,2",",279",",290",",500",0,",458","16,3","26,6",",208",0,",526","15,5","72,7",",248",0,Indiana Farmers Coliseum


===== wnba_2022_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,36,7250,",420","13,5",0,",687",",220",",194",",136",",137",",313",0,",452",",612",",392",",353",",376",",351",0,",526",",849",0,",182",",357"
2,Chicago Sky*,36,7275,",481","12,3",0,",691",",295",",192",",120",",085",",309",0,",542",",681",",513",",427",",293",",345",0,",694",",915",0,",186",",443"
3,Connecticut Sun*,36,7250,",462","11,8",0,",739",",315",",180",",138",",105",",261",0,",500",",620",",420",",434",",364",",354",0,",606",",883",0,",194",",437"
4,Dallas Wings*,36,7225,",435","13,3",0,",669",",233",",215",",117",",105",",331",0,",480",",671",",370",",394",",377",",343",0,",560",",839",0,",141",",365"
5,Indiana Fever,36,7250,",409","12,9",0,",710",",254",",207",",112",",138",",290",0,",437",",569",",393",",379",",308",",338",0,",553",",898",0,",178",",310"
6,Los Angeles Sparks,36,7225,",446","13,0",0,",747",",259",",222",",125",",142",",253",0,",488",",697",",427",",387",",293",",320",0,",560",",964",0,",163",",303"
7,Las Vegas Aces*,36,7225,",460","15,0",0,",624",",180",",219",",130",",096",",376",0,",520",",653",",490",",424",",467",",361",0,",563",",834",0,",198",",388"
8,Minnesota Lynx,36,7250,",450","12,9",0,",707",",234",",214",",132",",128",",293",0,",493",",661",",440",",373",",396",",348",0,",629",",870",0,",160",",416"
9,New York Liberty*,36,7275,",431","14,6",0,",586",",197",",213",",100",",077",",414",0,",488",",664",",400",",473",",299",",351",0,",643",",868",0,",152",",384"
10,Phoenix Mercury*,36,7275,",429","14,1",0,",599",",228",",210",",086",",075",",401",0,",497",",648",",433",",383",",341",",329",0,",586",",870",0,",190",",322"
11,Seattle Storm*,36,7225,",442","14,6",0,",628",",184",",200",",125",",119",",372",0,",490",",711",",438",",394",",336",",361",0,",680",",886",0,",180",",355"
12,Washington Mystics*,36,7275,",439","13,6",0,",663",",182",",268",",120",",093",",337",0,",491",",719",",417",",394",",381",",338",0,",617",",901",0,",176",",378"


===== wnba_2022_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,36,7250,",432",14,0,",640",",238",",160",",118",",124",",360",0,",479",",618",",403",",422",",364",",348",0,",612",",866",0,",191",",415"
2,Chicago Sky*,36,7275,",438",12,0,",732",",314",",190",",124",",104",",268",0,",474",",608",",388",",362",",360",",340",0,",611",",893",0,",192",",379"
3,Connecticut Sun*,36,7250,",439",13,0,",661",",263",",177",",116",",105",",339",0,",496",",640",",458",",383",",320",",328",0,",598",",890",0,",156",",344"
4,Dallas Wings*,36,7225,",459",13,0,",679",",229",",224",",124",",102",",321",0,",514",",736",",444",",399",",309",",343",0,",594",",855",0,",170",",354"
5,Indiana Fever,36,7250,",474",13,0,",693",",263",",219",",113",",098",",307",0,",533",",664",",499",",401",",411",",339",0,",612",",864",0,",190",",354"
6,Los Angeles Sparks,36,7225,",467",14,0,",653",",236",",209",",112",",097",",347",0,",514",",669",",431",",446",",398",",377",0,",596",",900",0,",189",",359"
7,Las Vegas Aces*,36,7225,",437",15,0,",637",",159",",231",",119",",128",",363",0,",484",",696",",419",",441",",377",",356",0,",592",",884",0,",137",",394"
8,Minnesota Lynx,36,7250,",439",14,0,",637",",207",",196",",117",",117",",363",0,",490",",668",",417",",425",",362",",350",0,",614",",925",0,",206",",362"
9,New York Liberty*,36,7275,",418",13,0,",694",",248",",225",",119",",103",",306",0,",454",",619",",399",",318",",332",",336",0,",563",",832",0,",163",",387"
10,Phoenix Mercury*,36,7275,",441",13,0,",668",",257",",211",",112",",089",",332",0,",478",",640",",385",",399",",329",",366",0,",616",",850",0,",166",",404"
11,Seattle Storm*,36,7225,",434",13,0,",683",",206",",251",",123",",103",",317",0,",487",",698",",426",",378",",343",",320",0,",634",",900",0,",172",",341"
12,Washington Mystics*,36,7275,",430",14,0,",671",",158",",238",",144",",131",",329",0,",475",",662",",457",",435",",324",",338",0,",580",",866",0,",171",",364"


