===== wnba_2024_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,New York Liberty*,"28,5",32,8,33,7,"9,15","-1,09","8,06","109,6","97,9",+11.7,"78,1",",250",",422",",561",0,",521","14,2","25,1",",203",0,",476","14,5","79,2",",167",0,0
2,Connecticut Sun*,"28,9",28,12,31,9,"6,50","-0,75","5,75","105,0","96,4",+8.6,"75,8",",317",",273",",533",0,",488","13,8","25,2",",239",0,",482","17,6","78,2",",204",0,0
3,Minnesota Lynx*,"27,9",30,10,30,10,"6,38","-0,74","5,64","104,6","96,5",+8.1,"77,7",",230",",371",",553",0,",518","15,3","22,3",",182",0,",460","16,5","74,2",",181",0,0
4,Las Vegas Aces*,"29,6",27,13,29,11,"5,48","-0,70","4,77","108,0","101,2",+6.8,"79,7",",269",",388",",567",0,",523","12,4","16,6",",223",0,",488","14,1","79,5",",189",0,0
5,Seattle Storm*,"29,1",25,15,27,13,"4,48","-0,56","3,92","104,2","98,6",+5.6,"79,4",",252",",295",",525",0,",478","13,5","24,2",",211",0,",477","16,5","74,6",",210",0,0
6,Indiana Fever*,"25,5",20,20,16,24,"-2,68","0,49","-2,19","106,1","109,5","-3,4","79,8",",250",",377",",559",0,",523","15,7","24,6",",194",0,",507","12,8","76,7",",228",0,0
7,Atlanta Dream*,"27,7",15,25,15,25,"-2,75","0,36","-2,39","99,0","102,5","-3,5","77,1",",294",",285",",501",0,",452","14,0","25,4",",227",0,",488","14,3","78,3",",208",0,0
8,Washington Mystics,"27,3",14,26,15,25,"-2,98","0,54","-2,44","99,7","103,4","-3,7","79,1",",224",",397",",538",0,",506","17,0","20,6",",172",0,",502","16,7","75,2",",241",0,0
9,Phoenix Mercury*,"30,4",19,21,15,25,"-3,30","0,33","-2,97","103,6","107,8","-4,2","78,2",",278",",394",",547",0,",503","15,1","20,0",",222",0,",496","13,1","71,6",",189",0,0
10,Chicago Sky,"26,1",13,27,12,28,"-5,13","0,46","-4,67","99,1","105,6","-6,5","78,2",",252",",212",",495",0,",457","14,3","29,5",",187",0,",499","14,2","76,8",",228",0,0
11,Los Angeles Sparks,"27,0",8,32,9,31,"-7,23","0,92","-6,30","98,6","107,7","-9,1","79,2",",295",",340",",523",0,",478","16,6","22,0",",226",0,",522","14,2","76,1",",211",0,0
12,Dallas Wings,"26,8",9,31,9,31,"-7,93","0,75","-7,18","104,2","114,0","-9,8","80,1",",263",",270",",531",0,",490","15,8","30,2",",206",0,",536","13,8","73,4",",236",0,0


===== wnba_2024_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,40,8074,",408","12,8",0,",715",",228",",225",",136",",124",",285",0,",448",",616",",375",",337",",395",",308",0,",599",",891",0,",210",",288"
2,Chicago Sky,40,8000,",422","10,8",0,",788",",298",",262",",120",",108",",212",0,",449",",587",",377",",358",",344",",323",0,",606",",808",0,",194",",310"
3,Connecticut Sun*,40,8049,",444","11,9",0,",727",",267",",262",",110",",089",",273",0,",487",",636",",416",",414",",345",",327",0,",635",",860",0,",181",",300"
4,Dallas Wings,40,8074,",446","12,3",0,",730",",242",",250",",130",",108",",270",0,",490",",668",",443",",337",",383",",326",0,",614",",772",0,",149",",333"
5,Indiana Fever*,40,8024,",456","13,6",0,",623",",280",",189",",073",",081",",377",0,",517",",622",",478",",375",",372",",356",0,",602",",774",0,",182",",372"
6,Los Angeles Sparks,40,8024,",423","12,8",0,",660",",234",",271",",088",",067",",340",0,",476",",641",",437",",312",",279",",320",0,",622",",927",0,",173",",321"
7,Las Vegas Aces*,40,8024,",454","14,5",0,",612",",114",",297",",117",",084",",388",0,",516",",694",",509",",406",",454",",355",0,",585",",843",0,",242",",359"
8,Minnesota Lynx*,40,8074,",448","14,7",0,",629",",175",",205",",107",",142",",371",0,",488",",662",",399",",429",",444",",380",0,",668",",974",0,",198",",429"
9,New York Liberty*,40,7999,",448","14,5",0,",578",",159",",258",",108",",053",",422",0,",520",",712",",486",",404",",345",",349",0,",657",",911",0,",201",",403"
10,Phoenix Mercury*,40,8049,",439","14,5",0,",606",",173",",248",",096",",089",",394",0,",512",",734",",439",",406",",398",",326",0,",606",",865",0,",179",",316"
11,Seattle Storm*,40,8049,",435","12,8",0,",705",",202",",278",",131",",094",",295",0,",497",",693",",435",",405",",387",",288",0,",616",",868",0,",170",",301"
12,Washington Mystics,40,8049,",433","14,4",0,",603",",181",",245",",086",",091",",397",0,",477",",685",",378",",478",",332",",366",0,",637",",954",0,",183",",451"


===== wnba_2024_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,40,8074,",429",13,0,",657",",243",",223",",102",",090",",343",0,",473",",617",",400",",358",",397",",344",0,",628",",874",0,",215",",357"
2,Chicago Sky,40,8000,",446",13,0,",678",",275",",200",",100",",103",",322",0,",503",",650",",391",",393",",433",",326",0,",672",",880",0,",203",",278"
3,Connecticut Sun*,40,8049,",431",13,0,",673",",207",",257",",120",",089",",327",0,",488",",660",",435",",401",",362",",313",0,",644",",895",0,",193",",346"
4,Dallas Wings,40,8074,",475",13,0,",668",",232",",236",",106",",093",",332",0,",530",",705",",468",",400",",397",",365",0,",620",",898",0,",197",",357"
5,Indiana Fever*,40,8024,",441",14,0,",638",",228",",209",",112",",090",",362",0,",487",",608",",448",",375",",408",",361",0,",603",",889",0,",193",",396"
6,Los Angeles Sparks,40,8024,",464",13,0,",680",",235",",248",",101",",096",",320",0,",513",",686",",444",",408",",378",",360",0,",605",",879",0,",172",",420"
7,Las Vegas Aces*,40,8024,",433",14,0,",684",",134",",312",",128",",110",",316",0,",471",",642",",460",",389",",384",",350",0,",600",",841",0,",160",",411"
8,Minnesota Lynx*,40,8074,",410",13,0,",670",",220",",238",",113",",098",",330",0,",464",",624",",428",",304",",374",",301",0,",589",",875",0,",184",",305"
9,New York Liberty*,40,7999,",425",13,0,",685",",205",",283",",106",",091",",315",0,",472",",609",",420",",428",",373",",324",0,",618",",828",0,",155",",331"
10,Phoenix Mercury*,40,8049,",431",14,0,",619",",176",",241",",102",",100",",381",0,",486",",707",",423",",390",",347",",342",0,",641",",872",0,",185",",356"
11,Seattle Storm*,40,8049,",426",13,0,",689",",225",",279",",104",",082",",311",0,",469",",651",",412",",355",",308",",329",0,",608",",895",0,",187",",382"
12,Washington Mystics,40,8049,",443",14,0,",647",",177",",269",",111",",089",",353",0,",504",",699",",443",",439",",377",",333",0,",612",",887",0,",228",",347"


