===== wnba_2019_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Washington Mystics*,"27,3",26,8,30,4,"12,00","-0,93","11,07","115,9","100,3",+15.6,"76,7",",235",",364",",579",0,",536","12,4","25,9",",206",0,",479","15,5","74,4",",179",0,St. Elizabeth's East Arena
2,Las Vegas Aces*,"25,8",21,13,22,12,"3,41","-0,20","3,21","100,9","96,8",+4.1,"80,8",",306",",213",",516",0,",466","15,1","25,6",",238",0,",450","13,2","78,2",",192",0,Mandalay Bay Events Center
3,Connecticut Sun*,"26,1",23,11,21,13,"2,88","-0,42","2,46","102,4","98,7",+3.7,"78,7",",259",",294",",509",0,",476","14,3","29,5",",182",0,",487","16,7","78,1",",203",0,Mohegan Sun Arena
4,Los Angeles Sparks*,"27,0",22,12,21,13,"2,82","-0,14","2,68","101,6","98,0",+3.6,"78,5",",209",",297",",522",0,",482","14,9","24,6",",175",0,",460","16,5","72,3",",215",0,STAPLES Center
5,Minnesota Lynx*,"26,8",18,16,21,13,"2,47","-0,21","2,27","100,8","97,7",+3.1,"77,7",",230",",261",",531",0,",495","17,1","27,9",",180",0,",484","17,8","75,9",",185",0,Target Center
6,Chicago Sky*,"27,1",20,14,19,15,"1,29","0,19","1,49","103,3","101,7",+1.6,"81,6",",255",",309",",543",0,",500","15,6","24,3",",209",0,",462","13,4","74,1",",199",0,Wintrust Arena
7,Seattle Storm*,"27,3",18,16,17,17,"-0,29","0,09","-0,21","98,7","99,1","-0,4","75,7",",230",",319",",513",0,",474","16,7","26,6",",182",0,",490","17,3","74,0",",175",0,Alaska Airlines Arena
8,Phoenix Mercury*,"30,3",15,19,15,19,"-1,12","-0,05","-1,17","100,5","101,9","-1,4","75,8",",286",",314",",529",0,",475","14,5","19,8",",242",0,",470","13,6","71,6",",160",0,Talking Stick Resort Arena
9,Indiana Fever,"26,0",13,21,13,21,"-2,71","0,04","-2,67","100,5","104,0","-3,5","76,7",",254",",244",",508",0,",464","14,4","26,5",",202",0,",473","13,7","72,7",",205",0,Bankers Life Fieldhouse
10,Dallas Wings,"24,4",10,24,9,25,"-5,79","0,44","-5,36","96,7","104,6","-7,9","74,0",",249",",292",",484",0,",436","14,6","29,4",",202",0,",478","15,5","73,7",",260",0,College Park Center
11,New York Liberty,"26,5",10,24,7,27,"-7,32","0,52","-6,80","97,4","106,6","-9,2","79,5",",246",",282",",504",0,",461","16,0","25,6",",193",0,",491","13,8","73,2",",242",0,Westchester County Center
12,Atlanta Dream,"27,1",8,26,7,27,"-7,65","0,69","-6,96","91,6","101,4","-9,8","77,4",",260",",318",",462",0,",417","15,0","25,7",",196",0,",463","14,0","70,6",",195",0,State Farm Arena


===== wnba_2019_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6825,",371","13,8",0,",682",",226",",170",",114",",172",",318",0,",408",",528",",375",",371",",309",",290",0,",547",",806",0,",174",",300"
2,Chicago Sky*,34,6825,",448","13,0",0,",691",",307",",137",",093",",154",",309",0,",498",",618",",408",",414",",390",",336",0,",620",",911",0,",152",",348"
3,Connecticut Sun*,34,6825,",423","13,0",0,",706",",207",",247",",129",",123",",294",0,",451",",631",",406",",365",",330",",356",0,",548",",913",0,",136",",412"
4,Dallas Wings,34,6800,",389","13,5",0,",708",",166",",260",",152",",129",",292",0,",414",",568",",380",",390",",314",",326",0,",494",",880",0,",085",",339"
5,Indiana Fever,34,6850,",422","13,2",0,",756",",254",",148",",135",",219",",244",0,",446",",583",",365",",392",",376",",346",0,",572",",701",0,",181",",350"
6,Los Angeles Sparks*,34,6825,",432","13,2",0,",703",",247",",198",",119",",139",",297",0,",470",",656",",407",",375",",311",",341",0,",550",",826",0,",137",",351"
7,Las Vegas Aces*,34,6850,",427","11,8",0,",787",",201",",311",",138",",137",",213",0,",443",",624",",423",",365",",302",",368",0,",655",",882",0,",110",",393"
8,Minnesota Lynx*,34,6800,",451","12,3",0,",739",",292",",183",",131",",133",",261",0,",493",",639",",395",",418",",385",",332",0,",602",",954",0,",121",",347"
9,New York Liberty,34,6800,",414","13,0",0,",718",",246",",192",",137",",143",",282",0,",446",",600",",361",",373",",365",",334",0,",629",",865",0,",161",",346"
10,Phoenix Mercury*,34,6825,",424","13,6",0,",686",",214",",223",",112",",137",",314",0,",469",",635",",413",",418",",341",",325",0,",613",",798",0,",169",",336"
11,Seattle Storm*,34,6800,",420","13,7",0,",681",",214",",224",",101",",143",",319",0,",460",",633",",370",",364",",408",",336",0,",552",",880",0,",152",",367"
12,Washington Mystics*,34,6825,",469","15,0",0,",636",",154",",213",",131",",138",",364",0,",529",",704",",491",",462",",456",",366",0,",586",",880",0,",157",",441"


===== wnba_2019_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6825,",416",13,0,",714",",251",",200",",124",",140",",286",0,",452",",592",",374",",389",",370",",326",0,",594",",865",0,",142",",278"
2,Chicago Sky*,34,6825,",418",12,0,",735",",294",",172",",117",",152",",265",0,",450",",558",",413",",378",",337",",331",0,",556",",855",0,",136",",341"
3,Connecticut Sun*,34,6825,",439",14,0,",687",",184",",240",",121",",142",",313",0,",498",",718",",427",",430",",391",",308",0,",612",",899",0,",141",",323"
4,Dallas Wings,34,6800,",430",13,0,",719",",216",",250",",122",",132",",281",0,",464",",646",",417",",383",",333",",343",0,",634",",851",0,",132",",375"
5,Indiana Fever,34,6850,",422",13,0,",711",",251",",182",",133",",144",",289",0,",447",",566",",380",",421",",352",",359",0,",643",",866",0,",159",",385"
6,Los Angeles Sparks*,34,6825,",408",13,0,",697",",231",",208",",119",",139",",303",0,",436",",627",",342",",375",",311",",344",0,",525",",855",0,",153",",467"
