===== wnba_2025_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Minnesota Lynx*,"28,8",34,10,37,7,"9,41","-0,69","8,72","112,3","100,0",+12.3,"76,4",",236",",372",",572",0,",542","13,9","26,0",",179",0,",481","15,9","74,1",",178",0,0
2,Atlanta Dream*,"27,8",30,14,35,9,"7,59","-1,10","6,49","110,5","100,5",+10.0,"76,2",",275",",418",",555",0,",514","12,9","26,7",",216",0,",478","13,4","79,8",",181",0,0
3,New York Liberty*,"29,4",27,17,29,15,"4,07","-0,28","3,79","108,3","103,1",+5.2,"77,9",",286",",410",",574",0,",526","14,9","20,8",",239",0,",483","13,9","73,6",",183",0,0
4,Indiana Fever*,"28,1",24,20,28,16,"3,36","-0,83","2,53","108,4","104,1",+4.3,"78,0",",261",",349",",554",0,",517","14,3","26,2",",201",0,",503","16,0","75,7",",233",0,0
5,Las Vegas Aces*,"28,1",30,14,27,17,"2,91","-0,32","2,59","108,1","104,4",+3.7,"77,3",",273",",383",",552",0,",506","13,6","23,5",",225",0,",489","14,1","74,5",",199",0,0
6,Phoenix Mercury*,"29,7",27,17,27,17,"2,68","-0,13","2,55","105,9","102,5",+3.4,"78,2",",259",",403",",542",0,",502","14,1","24,4",",203",0,",486","15,5","75,5",",225",0,0
7,Seattle Storm*,"30,2",23,21,26,18,"2,05","-0,02","2,02","104,5","101,9",+2.6,"78,2",",231",",319",",539",0,",505","13,2","19,9",",178",0,",497","16,8","74,2",",219",0,0
8,Golden State Valkyries*,"27,0",23,21,25,19,"1,39","0,08","1,47","103,9","102,1",+1.8,"74,6",",282",",458",",531",0,",482","14,9","26,0",",230",0,",472","13,9","76,0",",215",0,Chase Center
9,Los Angeles Sparks,"28,3",21,23,18,26,"-2,57","0,38","-2,19","107,5","110,7","-3,2","79,0",",304",",382",",563",0,",521","15,7","24,1",",234",0,",524","13,8","73,6",",189",0,0
10,Washington Mystics,"24,8",16,28,14,30,"-4,43","0,21","-4,23","100,0","105,7","-5,7","76,9",",325",",269",",530",0,",483","16,4","23,5",",245",0,",505","14,3","77,6",",225",0,0
11,Dallas Wings,"25,4",10,34,11,33,"-6,30","0,92","-5,38","103,3","111,2","-7,9","78,8",",257",",302",",514",0,",469","13,9","27,6",",206",0,",531","14,2","75,7",",255",0,0
12,Chicago Sky,"27,7",10,34,7,37,"-10,05","0,92","-9,13","98,8","111,9","-13,1","76,7",",259",",306",",516",0,",476","17,4","29,1",",198",0,",521","12,6","74,7",",215",0,0
13,Connecticut Sun,"27,1",11,33,7,37,"-10,11","0,87","-9,24","98,3","111,4","-13,1","76,9",",272",",304",",505",0,",458","14,9","24,4",",216",0,",530","15,4","72,6",",254",0,0


===== wnba_2025_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,44,8825,",443","13,7",0,",582",",249",",224",",068",",041",",418",0,",520",",634",",448",",438",",352",",337",0,",627",",893",0,",163",",373"
2,Chicago Sky,44,8800,",425","12,2",0,",694",",265",",255",",092",",083",",306",0,",467",",583",",396",",414",",375",",330",0,",632",",874",0,",173",",351"
3,Connecticut Sun,44,8825,",412","13,3",0,",696",",192",",256",",137",",112",",304",0,",459",",636",",399",",375",",399",",302",0,",588",",775",0,",167",",360"
4,Dallas Wings,44,8825,",423","13,0",0,",698",",171",",300",",131",",095",",302",0,",474",",649",",432",",410",",380",",304",0,",603",",903",0,",154",",363"
5,Golden State Valkyries*,44,8825,",407","15,3",0,",542",",115",",296",",070",",060",",458",0,",476",",633",",465",",378",",347",",325",0,",584",",897",0,",224",",310"
6,Indiana Fever*,44,8825,",456","12,9",0,",651",",249",",258",",069",",076",",349",0,",515",",638",",474",",397",",362",",346",0,",590",",841",0,",197",",361"
7,Los Angeles Sparks,44,8875,",457","12,5",0,",618",",258",",286",",048",",026",",382",0,",531",",713",",412",",401",",273",",337",0,",608",",850",0,",224",",353"
8,Las Vegas Aces*,44,8800,",439","14,7",0,",617",",089",",303",",152",",074",",383",0,",493",",655",",491",",416",",464",",351",0,",561",",883",0,",245",",362"
9,Minnesota Lynx*,44,8825,",472","14,2",0,",628",",198",",208",",109",",112",",372",0,",527",",699",",489",",427",",395",",378",0,",644",",917",0,",166",",438"
10,New York Liberty*,44,8800,",453","14,2",0,",590",",161",",295",",078",",055",",410",0,",522",",713",",468",",363",",472",",355",0,",671",",876",0,",197",",369"
11,Phoenix Mercury*,44,8800,",433","14,2",0,",597",",190",",251",",094",",062",",403",0,",496",",646",",440",",408",",401",",340",0,",612",",903",0,",214",",402"
12,Seattle Storm*,44,8850,",450","13,1",0,",681",",179",",287",",130",",084",",319",0,",501",",711",",449",",394",",397",",342",0,",618",",895",0,",195",",381"
13,Washington Mystics,44,8825,",439","11,9",0,",731",",222",",306",",123",",080",",269",0,",480",",694",",400",",384",",338",",329",0,",633",",903",0,",224",",314"


===== wnba_2025_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream*,44,8825,",429",13,0,",696",",231",",252",",119",",094",",304",0,",476",",611",",422",",380",",412",",321",0,",598",",828",0,",181",",331"
2,Chicago Sky,44,8800,",452",14,0,",624",",244",",207",",087",",086",",376",0,",504",",647",",421",",374",",432",",366",0,",620",",857",0,",214",",393"
3,Connecticut Sun,44,8825,",466",13,0,",632",",234",",249",",090",",059",",368",0,",534",",669",",495",",398",",367",",349",0,",635",",911",0,",214",",392"
4,Dallas Wings,44,8825,",459",14,0,",630",",190",",271",",107",",062",",370",0,",501",",678",",427",",436",",396",",388",0,",673",",912",0,",206",",464"
5,Golden State Valkyries*,44,8825,",405",15,0,",577",",114",",285",",092",",086",",423",0,",469",",616",",464",",401",",359",",317",0,",635",",895",0,",206",",337"
