===== wnba_2004_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Seattle Storm*,"26,8",20,14,25,9,"5,09","0,02","5,11","102,4","95,1",+7.3,"69,7",",334",",217",",525",0,",472","17,7","34,0",",259",0,",463","19,0","70,0",",213",0,KeyArena at Seattle Center
2,Los Angeles Sparks*,"27,2",25,9,23,11,"3,94","0,04","3,98","99,2","93,9",+5.3,"72,1",",349",",200",",523",0,",475","18,1","30,0",",256",0,",431","17,7","70,5",",266",0,STAPLES Center
3,Sacramento Monarchs*,"28,4",18,16,21,13,"2,09","0,27","2,35","99,0","95,9",+3.1,"67,7",",292",",176",",494",0,",453","17,2","36,5",",210",0,",472","21,6","67,2",",253",0,ARCO Arena (II)
4,Phoenix Mercury,"24,5",17,17,20,14,"1,91","0,18","2,09","99,7","96,9",+2.8,"67,6",",311",",270",",526",0,",480","17,5","27,1",",237",0,",461","19,9","67,8",",289",0,America West Arena
5,Connecticut Sun*,"26,9",18,16,19,15,"0,91","-0,52","0,39","98,5","97,2",+1.3,"68,7",",288",",228",",505",0,",463","16,7","29,8",",212",0,",466","17,9","70,4",",222",0,Mohegan Sun Arena
6,Detroit Shock*,"24,8",17,17,16,18,"-0,44","-0,38","-0,82","96,4","97,0","-0,6","71,7",",378",",100",",484",0,",432","17,3","35,3",",265",0,",455","17,3","70,4",",224",0,The Palace of Auburn Hills
7,Minnesota Lynx*,"26,0",18,16,16,18,"-0,74","0,27","-0,47","91,4","92,4","-1,0","69,2",",337",",285",",496",0,",450","21,9","31,7",",239",0,",431","18,1","69,1",",248",0,Target Center
8,Houston Comets,"27,5",13,21,15,19,"-1,00","0,37","-0,63","94,9","96,3","-1,4","67,0",",318",",185",",494",0,",445","18,0","30,2",",237",0,",453","17,4","68,4",",195",0,Toyota Center
9,New York Liberty*,"28,1",18,16,15,19,"-1,32","-0,29","-1,61","96,8","98,7","-1,9","67,4",",275",",319",",520",0,",480","18,9","26,4",",206",0,",445","15,5","66,6",",206",0,Madison Square Garden (IV)
10,Indiana Fever,"25,9",15,19,15,19,"-1,38","-0,28","-1,66","96,9","99,0","-2,1","66,2",",288",",239",",485",0,",435","17,7","36,5",",224",0,",464","17,7","71,4",",277",0,Conseco Fieldhouse
11,Washington Mystics*,"25,5",17,17,14,20,"-1,74","-0,24","-1,98","97,5","99,9","-2,4","69,7",",317",",136",",489",0,",443","15,1","30,4",",227",0,",465","17,5","68,4",",253",0,MCI Center
12,Charlotte Sting,"28,9",16,18,13,21,"-2,24","-0,19","-2,43","97,3","100,8","-3,5","62,3",",338",",263",",522",0,",475","19,3","29,0",",250",0,",448","16,6","62,7",",227",0,Charlotte Coliseum
13,San Antonio Silver Stars,"27,2",9,25,9,25,"-5,09","0,77","-4,32","93,5","100,9","-7,4","68,2",",324",",127",",494",0,",439","18,8","29,9",",252",0,",486","17,9","68,4",",208",0,AT&T Center


===== wnba_2004_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting,34,6900,",427","11,1",0,",737",",321",",143",",166",",107",",263",0,",451",",498",",430",",405",",406",",362",0,",487",",867",0,",065",",333"
2,Connecticut Sun*,34,6900,",427","10,6",0,",772",",306",",197",",170",",099",",228",0,",459",",577",",373",",374",",412",",319",0,",609",",866",0,",096",",333"
3,Detroit Shock*,34,6850,",417","9,1",0,",900",",349",",175",",268",",109",",100",0,",430",",534",",360",",365",",371",",297",0,",634",",790",0,",086",",222"
4,Houston Comets,34,6850,",413","10,6",0,",815",",272",",191",",265",",086",",185",0,",429",",548",",368",",385",",323",",344",0,",505",",894",0,",073",",462"
5,Indiana Fever,34,6850,",393","11,2",0,",761",",276",",197",",167",",120",",239",0,",408",",541",",320",",363",",311",",345",0,",667",",831",0,",091",",273"
6,Los Angeles Sparks*,34,6975,",437","10,1",0,",800",",358",",150",",181",",112",",200",0,",451",",559",",374",",340",",390",",379",0,",668",",809",0,",053",",409"
7,Minnesota Lynx*,34,6850,",404","10,8",0,",715",",353",",151",",127",",084",",285",0,",434",",532",",314",",311",",428",",327",0,",629",",876",0,",096",",346"
8,New York Liberty*,34,6900,",424","11,8",0,",681",",303",",134",",148",",095",",319",0,",459",",565",",344",",385",",397",",350",0,",580",",875",0,",065",",350"
9,Phoenix Mercury,34,6825,",430","11,6",0,",730",",273",",155",",211",",092",",270",0,",452",",583",",374",",375",",369",",370",0,",535",",844",0,",073",",421"
10,Sacramento Monarchs*,34,6900,",422","9,8",0,",824",",302",",234",",194",",095",",176",0,",436",",565",",390",",343",",332",",353",0,",549",",853",0,",066",",333"
11,San Antonio Silver Stars,34,6875,",419","10,2",0,",873",",290",",192",",246",",145",",127",0,",433",",564",",366",",368",",370",",320",0,",593",",734",0,",065",",313"
12,Seattle Storm*,34,6825,",431","11,0",0,",783",",283",",166",",222",",111",",217",0,",445",",549",",401",",380",",378",",380",0,",581",",850",0,",118",",442"
13,Washington Mystics*,34,6850,",418","10,3",0,",864",",263",",221",",250",",131",",136",0,",425",",583",",361",",365",",333",",371",0,",503",",771",0,",131",",324"


===== wnba_2004_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting,34,6900,",414",10,0,",819",",361",",175",",185",",098",",181",0,",423",",531",",354",",322",",342",",372",0,",610",",823",0,",117",",341"
2,Connecticut Sun*,34,6900,",430",10,0,",808",",319",",205",",203",",080",",192",0,",442",",557",",368",",360",",384",",378",0,",612",",890",0,",086",",303"
3,Detroit Shock*,34,6850,",410",12,0,",746",",262",",153",",214",",117",",254",0,",427",",538",",388",",359",",355",",358",0,",565",",717",0,",077",",293"
4,Houston Comets,34,6850,",415",11,0,",784",",292",",159",",221",",112",",216",0,",433",",555",",386",",338",",371",",350",0,",604",",836",0,",083",",361"
5,Indiana Fever,34,6850,",431",11,0,",811",",261",",202",",205",",143",",189",0,",451",",593",",345",",389",",434",",344",0,",597",",876",0,",082",",379"
6,Los Angeles Sparks*,34,6975,",389",11,0,",756",",282",",169",",207",",098",",244",0,",405",",500",",341",",369",",317",",341",0,",593",",874",0,",059",",367"
7,Minnesota Lynx*,34,6850,",408",10,0,",833",",339",",178",",214",",101",",167",0,",434",",528",",386",",351",",377",",279",0,",596",",913",0,",076",",280"
8,New York Liberty*,34,6900,",414",10,0,",802",",345",",163",",183",",110",",198",0,",438",",536",",363",",397",",307",",317",0,",554",",833",0,",067",",500"
9,Phoenix Mercury,34,6825,",425",10,0,",811",",327",",159",",207",",119",",189",0,",435",",559",",386",",312",",373",",382",0,",536",",805",0,",066",",565"
10,Sacramento Monarchs*,34,6900,",429",11,0,",755",",284",",182",",176",",113",",245",0,",454",",566",",372",",403",",384",",352",0,",573",",901",0,",103",",340"
11,San Antonio Silver Stars,34,6875,",443",11,0,",766",",283",",159",",212",",111",",234",0,",467",",578",",395",",438",",341",",367",0,",599",",849",0,",087",",390"
12,Seattle Storm*,34,6825,",428",10,0,",803",",317",",204",",192",",090",",197",0,",446",",563",",360",",359",",413",",355",0,",548",",842",0,",077",",400"
13,Washington Mystics*,34,6850,",429",11,0,",789",",278",",209",",203",",099",",211",0,",452",",610",",342",",377",",395",",344",0,",567",",870",0,",094",",225"


