===== wnba_2005_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Sacramento Monarchs*,"26,4",25,9,28,6,"6,94","-0,77","6,17","98,5","88,5",+10.0,"69,6",",363",",181",",506",0,",462","17,8","34,7",",249",0,",443","22,8","71,2",",262",0,ARCO Arena (II)
2,Connecticut Sun*,"27,2",26,8,27,7,"6,76","-0,76","6,00","104,1","94,4",+9.7,"69,9",",340",",184",",531",0,",484","16,3","30,7",",253",0,",427","15,8","69,2",",215",0,Mohegan Sun Arena
3,Seattle Storm*,"25,0",20,14,21,13,"2,68","-0,40","2,28","101,8","98,0",+3.8,"71,9",",333",",208",",527",0,",473","17,9","32,0",",263",0,",443","15,2","69,9",",227",0,KeyArena at Seattle Center
4,Houston Comets*,"30,2",19,15,19,15,"1,35","-0,21","1,15","100,2","98,2",+2.0,"67,1",",359",",107",",519",0,",464","16,0","28,7",",274",0,",474","18,0","71,4",",216",0,Toyota Center
5,Indiana Fever*,"27,4",21,13,19,15,"1,09","-0,16","0,93","95,2","93,6",+1.6,"65,8",",304",",239",",489",0,",439","17,7","32,4",",231",0,",465","21,1","70,6",",256",0,Conseco Fieldhouse
6,New York Liberty*,"28,4",18,16,19,15,"0,91","-0,15","0,77","102,4","101,0",+1.4,"65,3",",297",",325",",551",0,",501","18,0","26,1",",243",0,",458","15,3","68,0",",220",0,Madison Square Garden (IV)
7,Phoenix Mercury,"25,9",16,18,17,17,"0,21","-0,03","0,18","99,0","98,7",+0.3,"70,2",",348",",270",",514",0,",459","18,4","32,7",",266",0,",459","17,3","69,3",",262",0,America West Arena
8,Los Angeles Sparks*,"26,9",17,17,16,18,"-0,56","0,28","-0,28","97,3","98,1","-0,8","70,3",",309",",190",",501",0,",458","17,5","31,2",",223",0,",465","19,4","67,3",",270",0,STAPLES Center
9,Detroit Shock*,"25,6",16,18,15,19,"-1,18","0,08","-1,10","91,3","92,9","-1,6","71,1",",376",",116",",468",0,",422","19,2","35,6",",247",0,",443","18,6","74,6",",290",0,The Palace of Auburn Hills
10,Washington Mystics,"27,1",16,18,15,19,"-1,24","0,08","-1,15","97,7","99,6","-1,9","67,1",",277",",259",",512",0,",476","16,5","26,0",",197",0,",485","18,9","71,7",",261",0,MCI Center
11,Minnesota Lynx,"25,8",14,20,13,21,"-2,26","0,43","-1,83","94,3","97,5","-3,2","68,5",",309",",253",",500",0,",456","19,5","30,4",",225",0,",459","17,6","67,5",",215",0,Target Center
12,Charlotte Sting,"28,1",6,28,6,28,"-7,06","0,69","-6,36","90,8","101,2","-10,4","66,7",",326",",157",",479",0,",431","19,7","31,1",",234",0,",484","19,5","63,2",",270",0,Charlotte Coliseum
13,San Antonio Silver Stars,"26,7",7,27,6,28,"-7,65","0,91","-6,74","92,3","103,6","-11,3","68,2",",356",",185",",505",0,",447","20,2","26,7",",274",0,",471","15,6","66,3",",225",0,AT&T Center


===== wnba_2005_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting,34,6925,",404","9,9",0,",843",",328",",174",",219",",121",",157",0,",414",",508",",357",",387",",293",",346",0,",603",",865",0,",070",",381"
2,Connecticut Sun*,34,6800,",452","10,3",0,",816",",309",",183",",214",",110",",184",0,",476",",635",",326",",402",",422",",349",0,",594",",815",0,",123",",370"
3,Detroit Shock*,34,6925,",403","8,9",0,",884",",358",",189",",229",",109",",116",0,",414",",518",",337",",340",",364",",319",0,",544",",829",0,",059",",500"
4,Houston Comets*,34,6875,",448","9,6",0,",893",",306",",180",",292",",115",",107",0,",465",",602",",416",",379",",398",",302",0,",518",",871",0,",044",",444"
5,Indiana Fever*,34,6925,",400","11,6",0,",761",",229",",223",",189",",120",",239",0,",426",",560",",346",",365",",413",",321",0,",576",",853",0,",165",",312"
6,Los Angeles Sparks*,34,6800,",428","10,5",0,",810",",326",",150",",186",",148",",190",0,",453",",595",",394",",339",",340",",320",0,",597",",839",0,",083",",281"
7,Minnesota Lynx,34,6850,",412","9,8",0,",747",",371",",173",",140",",063",",253",0,",433",",540",",338",",286",",390",",350",0,",599",",895",0,",110",",370"
8,New York Liberty*,34,6925,",445","12,2",0,",675",",284",",130",",160",",101",",325",0,",494",",614",",444",",396",",374",",344",0,",511",",870",0,",061",",432"
9,Phoenix Mercury,34,6800,",414","12,3",0,",730",",252",",126",",227",",125",",270",0,",445",",560",",373",",372",",422",",330",0,",608",",871",0,",095",",294"
10,Sacramento Monarchs*,34,6800,",430","9,8",0,",819",",307",",223",",206",",083",",181",0,",445",",583",",404",",312",",378",",358",0,",570",",884",0,",075",",444"
11,San Antonio Silver Stars,34,6800,",417","10,4",0,",815",",277",",225",",204",",110",",185",0,",438",",592",",371",",356",",338",",324",0,",515",",873",0,",091",",161"
12,Seattle Storm*,34,6825,",439","9,9",0,",792",",332",",199",",170",",091",",208",0,",467",",572",",382",",395",",402",",331",0,",534",",789",0,",121",",288"
13,Washington Mystics,34,6900,",430","12,1",0,",741",",234",",171",",193",",142",",259",0,",457",",618",",368",",376",",407",",355",0,",532",",901",0,",106",",352"


===== wnba_2005_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting,34,6925,",451",10,0,",820",",362",",168",",169",",120",",180",0,",469",",614",",352",",369",",339",",366",0,",536",",855",0,",088",",367"
2,Connecticut Sun*,34,6800,",398",11,0,",810",",290",",188",",223",",108",",190",0,",419",",538",",320",",369",",379",",305",0,",537",",918",0,",150",",283"
3,Detroit Shock*,34,6925,",403",12,0,",766",",258",",141",",219",",148",",234",0,",423",",558",",343",",343",",383",",338",0,",565",",760",0,",072",",303"
4,Houston Comets*,34,6875,",436",11,0,",782",",312",",148",",206",",117",",218",0,",460",",591",",390",",373",",355",",350",0,",597",",831",0,",083",",343"
5,Indiana Fever*,34,6925,",431",11,0,",796",",264",",206",",201",",125",",204",0,",456",",610",",364",",374",",413",",335",0,",515",",805",0,",093",",412"
6,Los Angeles Sparks*,34,6800,",418",11,0,",735",",323",",141",",178",",093",",265",0,",443",",555",",371",",333",",370",",351",0,",640",",879",0,",104",",315"
