===== wnba_1999_teams_advanced.txt =====
Offense Four Factors,Defense Four Factors,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Houston Comets*,"29,7",26,6,28,4,"9,28","-0,15","9,13","105,8","92,5",+13.3,"69,7",",325",",286",",541",0,",486","17,1","32,8",",266",0,",422","18,2","66,1",",214",0,Compaq Center
2,Sacramento Monarchs*,"26,3",19,13,22,10,"4,19","0,42","4,60","99,9","94,3",+5.6,"74,8",",422",",210",",503",0,",455","17,6","38,3",",283",0,",459","20,3","69,3",",222",0,ARCO Arena (II)
3,Los Angeles Sparks*,"24,7",20,12,22,10,"4,09","0,43","4,52","102,7","97,2",+5.5,"73,7",",331",",233",",523",0,",475","17,1","32,9",",248",0,",447","17,6","68,4",",268",0,Great Western Forum
4,New York Liberty*,"29,2",18,14,20,12,"2,50","-1,16","1,34","97,1","93,6",+3.5,"68,4",",276",",247",",505",0,",464","18,3","31,9",",206",0,",443","21,2","67,6",",309",0,Madison Square Garden (IV)
5,Phoenix Mercury,"29,2",15,17,16,16,"-0,16","0,90","0,74","97,2","97,5","-0,3","70,0",",364",",239",",491",0,",434","17,2","33,6",",272",0,",447","17,9","66,4",",249",0,America West Arena
6,Orlando Miracle,"25,8",15,17,15,17,"-0,31","-0,85","-1,16","97,1","97,5","-0,4","70,4",",360",",247",",510",0,",466","19,4","33,1",",249",0,",472","19,8","65,2",",228",0,TD Waterhouse Centre
7,Charlotte Sting*,"28,2",15,17,14,18,"-1,19","-0,75","-1,94","96,6","98,3","-1,7","67,8",",296",",204",",516",0,",469","18,7","30,0",",227",0,",459","17,0","68,3",",197",0,Charlotte Coliseum
8,Detroit Shock*,"27,1",15,17,13,19,"-2,00","-0,66","-2,66","93,9","96,6","-2,7","73,3",",387",",170",",485",0,",432","17,3","29,4",",272",0,",467","19,3","69,7",",278",0,The Palace of Auburn Hills
9,Minnesota Lynx,"27,1",15,17,12,20,"-2,38","1,15","-1,23","93,7","97,2","-3,5","67,1",",244",",313",",477",0,",441","17,0","28,9",",176",0,",464","19,4","67,3",",270",0,Target Center
10,Utah Starzz,"28,0",15,17,11,21,"-3,13","1,23","-1,90","98,8","103,0","-4,2","73,7",",381",",186",",520",0,",461","19,7","34,2",",292",0,",483","17,2","69,7",",289",0,Delta Center
11,Washington Mystics,"24,9",12,20,9,23,"-4,56","-0,38","-4,94","92,6","99,0","-6,4","70,1",",378",",192",",502",0,",451","21,5","32,9",",269",0,",447","16,1","66,1",",236",0,MCI Center
12,Cleveland Rockers,"27,2",7,25,7,25,"-6,34","-0,18","-6,52","88,7","97,7","-9,0","70,9",",294",",167",",481",0,",437","20,7","30,1",",213",0,",460","17,8","67,3",",224",0,Gund Arena


===== wnba_1999_teams_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting*,32,6425,",439","10,1",0,",796",",285",",220",",238",",053",",204",0,",477",",588",",398",",422",",458",",293",0,",679",",954",0,",019",",429"
2,Cleveland Rockers,32,6400,",414","9,7",0,",833",",265",",258",",219",",067",",167",0,",440",",584",",377",",341",",435",",285",0,",584",",875",0,",010",",667"
3,Detroit Shock*,32,6500,",401","9,5",0,",830",",345",",150",",277",",057",",170",0,",410",",510",",288",",356",",381",",360",0,",551",",785",0,",009",",333"
4,Houston Comets*,32,6425,",440","11,1",0,",714",",276",",173",",207",",057",",286",0,",487",",616",",408",",389",",468",",322",0,",523",",858",0,",015",",125"
5,Los Angeles Sparks*,32,6475,",436","10,7",0,",767",",250",",230",",227",",060",",233",0,",464",",657",",366",",379",",358",",342",0,",608",",853",0,",008",",500"
6,Minnesota Lynx,32,6475,",388","12,8",0,",686",",232",",109",",231",",115",",314",0,",415",",552",",348",",347",",338",",331",0,",617",",935",0,",023",",357"
7,New York Liberty*,32,6525,",418","10,6",0,",753",",271",",168",",194",",076",",247",0,",434",",556",",379",",332",",407",",370",0,",552",",834",0,",019",",333"
8,Orlando Miracle,32,6450,",424","9,5",0,",753",",329",",241",",132",",051",",247",0,",453",",571",",346",",372",",411",",336",0,",534",",813",0,",004",",500"
9,Phoenix Mercury,32,6400,",399","10,8",0,",760",",280",",183",",226",",071",",240",0,",432",",555",",349",",354",",412",",293",0,",634",",843",0,",033",",200"
10,Sacramento Monarchs*,32,6400,",423","9,0",0,",790",",287",",315",",132",",029",",210",0,",456",",616",",389",",284",",373",",299",0,",526",",841",0,",014",",500"
11,Utah Starzz,32,6500,",433","9,4",0,",814",",310",",239",",194",",071",",186",0,",465",",604",",377",",378",",391",",295",0,",611",",944",0,",006",",000"
12,Washington Mystics,32,6475,",423","9,7",0,",808",",278",",259",",217",",054",",192",0,",455",",624",",372",",332",",474",",290",0,",566",",880",0,",072",",360"


===== wnba_1999_opponent_shooting.txt =====
% of FGA by Distance,FG% by Distance,% of FG Ast'd,Corner,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Charlotte Sting*,32,6425,",424",10,0,",777",",295",",208",",211",",063",",223",0,",454",",589",",371",",373",",372",",318",0,",572",",868",0,",016",",429"
2,Cleveland Rockers,32,6400,",424",10,0,",771",",294",",190",",199",",064",",229",0,",459",",602",",332",",405",",392",",308",0,",586",",854",0,",018",",375"
3,Detroit Shock*,32,6500,",437",9,0,",822",",362",",197",",228",",036",",178",0,",458",",547",",398",",376",",412",",337",0,",589",",807",0,",027",",444"
4,Houston Comets*,32,6425,",390",11,0,",774",",251",",219",",233",",071",",226",0,",422",",576",",337",",325",",453",",283",0,",555",",848",0,",014",",167"
5,Los Angeles Sparks*,32,6475,",410",10,0,",777",",260",",258",",200",",058",",223",0,",433",",573",",368",",346",",409",",330",0,",568",",878",0,",016",",000"
6,Minnesota Lynx,32,6475,",425",11,0,",740",",284",",155",",221",",079",",260",0,",469",",601",",387",",374",",421",",299",0,",624",",912",0,",024",",273"
7,New York Liberty*,32,6525,",412",10,0,",768",",317",",145",",179",",070",",232",0,",455",",561",",356",",364",",415",",269",0,",542",",835",0,",020",",500"
8,Orlando Miracle,32,6450,",429",10,0,",768",",306",",214",",200",",049",",232",0,",448",",580",",371",",348",",359",",368",0,",596",",925",0,",016",",143"
9,Phoenix Mercury,32,6400,",415",10,0,",793",",314",",212",",218",",049",",207",0,",445",",588",",370",",326",",383",",301",0,",575",",891",0,",030",",417"
10,Sacramento Monarchs*,32,6400,",418",11,0,",761",",207",",274",",187",",071",",239",0,",443",",628",",389",",342",",383",",340",0,",575",",851",0,",004",",500"
11,Utah Starzz,32,6500,",438",11,0,",752",",272",",179",",209",",093",",248",0,",460",",592",",362",",390",",421",",370",0,",607",",872",0,",000",0
12,Washington Mystics,32,6475,",415",10,0,",797",",252",",280",",206",",058",",203",0,",441",",597",",381",",347",",388",",315",0,",592",",827",0,",052",",381"


